19,3,0,0
19,q,23
19,a,76
19,i,38
19, ,17
19,u,19
19,n,21
19,o,22
19,m,24
19, ,30
19,b,34
19,r,46
19,e,47
19,e,11
19,s,4
19,s,20
19,?,16
66,3,1,1
66,force,38.5
66,the,6.553
66,may,8.19
66,mass,83.120
66,be,3.27
66,to,11.38
66,equal,7.2
66,times,4.3
66,acceleration,7.5
8,0,1,0
8,red.,035
8,rhyme.,074
8,roses,011
8,spaghetti.,100
8,mom's,080
8,are,041
8,this,058
8,poem,059
8,blue.,056
8,doesn't,065
8,violets,037
8,are,023
3,0,0,0
3,D,043
3,O,071
3,S,086
3,E,089
3,O,007
3, ,052
3,U,042
3,!,210
3,S,099
3,L,002
3,N,065
3,I,077
44,0,1,0
44,squirrel,019
44,Christmas,093
44,buying,045
44,on,088
44,husband,012
44,not,040
44,woman,004
44,for,038
44,Eve,2013
44,stabs,010
44,with,018
44,beer,068
